DateUTC,TotalActiveEnergy+,TotalActiveEnergy-,production,consumption
2021-12-31 00:00:00,0.018,0,0,0.018
2021-12-31 00:05:00,0.022,0,0,0.022
2021-12-31 00:10:00,0.018,0,0,0.018
2021-12-31 00:15:00,0.018,0,0,0.018
2021-12-31 00:20:00,0.017,0,0,0.017
2021-12-31 00:25:00,0.013,0,0,0.013
2021-12-31 00:30:00,0.01,0,0,0.01
2021-12-31 00:35:00,0.009,0,0,0.009
2021-12-31 00:40:00,0.015,0,0,0.015
2021-12-31 00:45:00,0.021,0,0,0.021
2021-12-31 00:50:00,0.112,0,0,0.112
2021-12-31 00:55:00,0.026,0,0,0.026
2021-12-31 01:00:00,0.026,0,0,0.026
2021-12-31 01:05:00,0.031,0,0,0.031
2021-12-31 01:10:00,0.025,0,0,0.025
2021-12-31 01:15:00,0.026,0,0,0.026
2021-12-31 01:20:00,0.059,0,0,0.059
2021-12-31 01:25:00,0.084,0,0,0.084
2021-12-31 01:30:00,0.023,0,0,0.023
2021-12-31 01:35:00,0.021,0,0,0.021
2021-12-31 01:40:00,0.029,0,0,0.029
2021-12-31 01:45:00,0.029,0,0,0.029
2021-12-31 01:50:00,0.039,0,0,0.039
2021-12-31 01:55:00,0.029,0,0,0.029
2021-12-31 02:00:00,0.028,0,0,0.028
2021-12-31 02:05:00,0.036,0,0,0.036
2021-12-31 02:10:00,0.029,0,0,0.029
2021-12-31 02:15:00,0.028,0,0,0.028
2021-12-31 02:20:00,0.018,0,0,0.018
2021-12-31 02:25:00,0.009,0,0,0.009
2021-12-31 02:30:00,0.007,0,0,0.007
2021-12-31 02:35:00,0.007,0,0,0.007
2021-12-31 02:40:00,0.007,0,0,0.007
2021-12-31 02:45:00,0.007,0,0,0.007
2021-12-31 02:50:00,0.009,0,0,0.009
2021-12-31 02:55:00,0.007,0,0,0.007
2021-12-31 03:00:00,0.006,0,0,0.006
2021-12-31 03:05:00,0.009,0,0,0.009
2021-12-31 03:10:00,0.007,0,0,0.007
2021-12-31 03:15:00,0.006,0,0,0.006
2021-12-31 03:20:00,0.007,0,0,0.007
2021-12-31 03:25:00,0.009,0,0,0.009
2021-12-31 03:30:00,0.007,0,0,0.007
2021-12-31 03:35:00,0.007,0,0,0.007
2021-12-31 03:40:00,0.006,0,0,0.006
2021-12-31 03:45:00,0.007,0,0,0.007
2021-12-31 03:50:00,0.02,0,0,0.02
2021-12-31 03:55:00,0.016,0,0,0.016
2021-12-31 04:00:00,0.016,0,0,0.016
2021-12-31 04:05:00,0.019,0,0,0.019
2021-12-31 04:10:00,0.015,0,0,0.015
2021-12-31 04:15:00,0.015,0,0,0.015
2021-12-31 04:20:00,0.015,0,0,0.015
2021-12-31 04:25:00,0.02,0,0,0.02
2021-12-31 04:30:00,0.009,0,0,0.009
2021-12-31 04:35:00,0.007,0,0,0.007
2021-12-31 04:40:00,0.006,0,0,0.006
2021-12-31 04:45:00,0.007,0,0,0.007
2021-12-31 04:50:00,0.009,0,0,0.009
2021-12-31 04:55:00,0.006,0,0,0.006
2021-12-31 05:00:00,0.007,0,0,0.007
2021-12-31 05:05:00,0.008,0,0,0.008
2021-12-31 05:10:00,0.006,0,0,0.006
2021-12-31 05:15:00,0.007,0,0,0.007
2021-12-31 05:20:00,0.007,0,0,0.007
2021-12-31 05:25:00,0.008,0,0,0.008
2021-12-31 05:30:00,0.007,0,0,0.007
2021-12-31 05:35:00,0.006,0,0,0.006
2021-12-31 05:40:00,0.007,0,0,0.007
2021-12-31 05:45:00,0.006,0,0,0.006
2021-12-31 05:50:00,0.009,0,0,0.009
2021-12-31 05:55:00,0.006,0,0,0.006
2021-12-31 06:00:00,0.007,0,0,0.007
